symbol,exchange,tickSz,tickBps,avgPx,avgVol,avgNtl,volatility,dailyRange,tickRange,startDate,endDate
CCOI,NASDAQ,0.01,1.7,58.8137,267790,15749721,0.9998,1.3523,135,1/7/2019,1/11/2019
CCRC,NASDAQ,0.01,9.83,10.1705,54735,556682,0.7635,0.7133,71,1/7/2019,1/11/2019
CCRN,NASDAQ,0.01,10.04,9.9608,166824,1661700,0.1742,0.324,32,1/7/2019,1/11/2019
CCXI,NASDAQ,0.01,13.27,7.5367,383637,2891357,0.2444,0.4099,41,1/7/2019,1/11/2019
CDC,NASDAQ,0.01,2.19,45.6146,40884,1864907,0.3888,0.3911,39,1/7/2019,1/11/2019
CDEV,NASDAQ,0.01,20.54,4.8695,6502785,31665312,0.2949,0.3641,36,1/7/2019,1/11/2019
CDK,NASDAQ,0.01,2.09,47.8058,812379,38836428,0.9183,1.1593,116,1/7/2019,1/11/2019
CDL,NASDAQ,0.01,2.12,47.1325,17560,827647,0.4311,0.3837,38,1/7/2019,1/11/2019
CDLX,NASDAQ,0.01,3,33.3847,425813,14215639,1.1911,1.7042,170,1/7/2019,1/11/2019
CDMO,NASDAQ,0.01,16.79,5.9564,298464,1777771,0.2351,0.287,29,1/7/2019,1/11/2019
CDMOP,NASDAQ,0.01,3.67,27.2665,2458,67021,0.5049,0.4398,44,1/7/2019,1/11/2019
CDNA,NASDAQ,0.01,3.67,27.2538,886891,24171150,1.2032,1.6635,166,1/7/2019,1/11/2019
CDNS,NASDAQ,0.01,1.45,68.9942,1817907,125425039,1.274,1.6572,166,1/7/2019,1/11/2019
CDTX,NASDAQ,0.01,57.47,1.7401,373635,650162,0.105,0.1355,14,1/7/2019,1/11/2019
CDW,NASDAQ,0.01,0.85,117.0824,1296986,151854234,2.1051,2.5865,259,1/7/2019,1/11/2019
CDXC,NASDAQ,0.01,24.95,4.0079,229703,920627,0.1204,0.2305,23,1/7/2019,1/11/2019
